com.samsung.shealth.report,6267007,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Los_Angeles,1676188800000,2023-02-19 21:31:16.077,2023-02-19 21:31:16.077,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,fb7aa00f-72dd-4cbd-aef7-31dec4f6b086,fb7aa00f-72dd-4cbd-aef7-31dec4f6b086.compressed_content.json,
America/Los_Angeles,1676793600000,2023-02-26 21:27:35.240,2023-02-26 21:27:35.240,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,1c9dacf1-1d7a-4e83-98df-6c4991adef3a,1c9dacf1-1d7a-4e83-98df-6c4991adef3a.compressed_content.json,
America/Los_Angeles,1677398400000,2023-03-05 21:27:35.132,2023-03-05 21:27:35.132,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,5d0014d1-8a90-4d8a-88ef-e8667bbe3ea0,5d0014d1-8a90-4d8a-88ef-e8667bbe3ea0.compressed_content.json,
America/Los_Angeles,1678003200000,2023-03-12 20:30:05.432,2023-03-12 20:30:05.432,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,b6d90f02-43d2-4b99-bdc2-ae6c27ef71bf,b6d90f02-43d2-4b99-bdc2-ae6c27ef71bf.compressed_content.json,
America/Los_Angeles,1678608000000,2023-03-19 20:34:08.011,2023-03-19 20:34:08.011,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,2aeb209f-66d0-48fe-a21a-bb195e43ef79,2aeb209f-66d0-48fe-a21a-bb195e43ef79.compressed_content.json,
America/Los_Angeles,1679209200000,2023-03-26 20:30:24.976,2023-03-26 20:30:24.976,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,e1237886-0b0a-4005-a984-ff44e4b23dc1,e1237886-0b0a-4005-a984-ff44e4b23dc1.compressed_content.json,
America/Los_Angeles,1679814000000,2023-04-02 20:27:33.390,2023-04-02 20:27:33.390,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,76c869c9-35d6-4d6a-8ade-690fdfdd3764,76c869c9-35d6-4d6a-8ade-690fdfdd3764.compressed_content.json,
America/Los_Angeles,1680418800000,2023-04-09 20:36:34.446,2023-04-09 20:36:34.446,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,25f73833-e537-4244-b841-aabc32f61078,25f73833-e537-4244-b841-aabc32f61078.compressed_content.json,
America/Los_Angeles,1681023600000,2023-04-16 20:27:32.318,2023-04-16 20:27:32.318,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,39452fa2-6eb2-454d-85c5-4e5d60564c83,39452fa2-6eb2-454d-85c5-4e5d60564c83.compressed_content.json,
America/Los_Angeles,1681628400000,2023-04-23 20:39:12.508,2023-04-23 20:39:12.508,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,fba472b0-406e-4cad-9391-9e2295b5ca0e,fba472b0-406e-4cad-9391-9e2295b5ca0e.compressed_content.json,
Africa/Cairo,1681596000000,2023-04-26 11:40:06.017,2023-04-26 11:40:06.017,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,00a1a83c-11cf-4982-aaa8-15da245fe454,00a1a83c-11cf-4982-aaa8-15da245fe454.compressed_content.json,
