com.samsung.shealth.activity.day_summary,6267007,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,90,0,,2022-09-18 20:23:45.572,,2022-09-18 20:23:45.572,,,,-1,0,0,,,,0.0,,0.0,d1e5c394-0d8b-4358-b54a-c3a9304ca130.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,d1e5c394-0d8b-4358-b54a-c3a9304ca130,1662508800000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.586,,2022-09-18 20:23:45.586,,,,-1,0,0,,,,0.0,,0.0,af22e43a-a462-47dc-b2c0-71526a291ccc.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,af22e43a-a462-47dc-b2c0-71526a291ccc,1662595200000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.601,,2022-09-18 20:23:45.601,,,,-1,0,0,,,,0.0,,0.0,c042b4b2-5074-45b7-a8a2-6125fc21e15a.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,c042b4b2-5074-45b7-a8a2-6125fc21e15a,1662681600000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.617,,2022-09-18 20:23:45.617,,,,-1,0,0,,,,0.0,,0.0,409377a3-cf91-4d37-9b4a-d6dfa62e4856.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,409377a3-cf91-4d37-9b4a-d6dfa62e4856,1662768000000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.639,,2022-09-18 20:23:45.639,,,,-1,0,0,,,,0.0,,0.0,e0846724-7560-49ab-8ce5-bf35a76676d3.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,e0846724-7560-49ab-8ce5-bf35a76676d3,1662854400000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.656,,2022-09-18 20:23:45.656,,,,-1,0,0,,,,0.0,,0.0,7cdf9743-9b84-470f-a826-05a2782adfdb.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,7cdf9743-9b84-470f-a826-05a2782adfdb,1662940800000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.668,,2022-09-18 20:23:45.668,,,,-1,0,0,,,,0.0,,0.0,233df9d0-2729-4d00-ac6e-ef8e31bd62c7.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,233df9d0-2729-4d00-ac6e-ef8e31bd62c7,1663027200000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.679,,2022-09-18 20:23:45.679,,,,-1,0,0,,,,0.0,,0.0,cf06be74-d67a-4896-bbd1-ec120febb049.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,cf06be74-d67a-4896-bbd1-ec120febb049,1663113600000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.691,,2022-09-18 20:23:45.691,,,,-1,0,0,,,,0.0,,0.0,a83b3eba-9d8a-47a4-a1d7-78be5eaf042e.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,a83b3eba-9d8a-47a4-a1d7-78be5eaf042e,1663200000000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.702,,2022-09-18 20:23:45.702,,,,-1,0,0,,,,0.0,,0.0,f66c0aec-4817-41b0-b50e-988a962511bc.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,f66c0aec-4817-41b0-b50e-988a962511bc,1663286400000,
,,,,0,,0,90,0,,2022-09-18 20:23:45.717,,2022-09-18 20:23:45.717,,,,-1,0,0,,,,0.0,,0.0,637d934f-dbdb-40b1-b515-8f080dbc8782.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,0,-1,637d934f-dbdb-40b1-b515-8f080dbc8782,1663372800000,
,,,,3918,,2530665,90,0,,2022-09-20 06:26:03.344,,2022-09-19 07:00:00.567,,,,-1,900000,46,,,,2985.1602,,154.52,8e6d1a71-c4db-4a54-9cd6-b314bd86479e.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,2530665,22740000,8e6d1a71-c4db-4a54-9cd6-b314bd86479e,1663545600000,
,,,,2751,,1699186,90,0,,2022-09-21 06:45:26.322,,2022-09-20 07:03:19.701,,,,-1,240000,31,,,,2085.1694,,99.88999,2dd0acb2-4ad3-423e-854f-415ac1ebe403.extra_data.json,1Aysn0n5s3,1852,com.sec.android.app.shealth,1697334,27060000,2dd0acb2-4ad3-423e-854f-415ac1ebe403,1663632000000,
,,,,1316,,876170,90,0,,2022-09-22 07:03:45.051,,2022-09-21 07:00:00.544,,,,-1,60000,15,,,,995.27,,49.170002,bb25f09c-a6fe-460c-9fc9-a31ec2858fcf.extra_data.json,1Aysn0n5s3,2400,com.sec.android.app.shealth,873770,33240000,bb25f09c-a6fe-460c-9fc9-a31ec2858fcf,1663718400000,
,,,,5542,,3595110,90,0,,2022-09-23 05:37:03.236,,2022-09-22 07:03:45.013,,,,-1,180000,65,,,,4163.5703,,205.92996,ef05cd50-b959-4d53-a331-22c8ce175706.extra_data.json,1Aysn0n5s3,400,com.sec.android.app.shealth,3594710,30600000,ef05cd50-b959-4d53-a331-22c8ce175706,1663804800000,
,,,,10585,,6703869,90,0,,2022-09-24 06:31:47.652,,2022-09-23 07:00:22.203,,,,-1,719014,123,,,,8004.2393,,404.30988,4f7dfc8f-fbf5-470d-8171-0fff0ed49b45.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,6703869,21780000,4f7dfc8f-fbf5-470d-8171-0fff0ed49b45,1663891200000,
,,,,20357,,12870095,90,0,,2022-09-25 06:35:14.331,,2022-09-24 07:17:42.331,,,,-1,720000,236,,,,15263.572,,789.7996,ab6e20c8-40f2-43ae-aab4-ca77d8d3b6b7.extra_data.json,1Aysn0n5s3,38166,com.sec.android.app.shealth,12831929,19980000,ab6e20c8-40f2-43ae-aab4-ca77d8d3b6b7,1663977600000,
,,,,11310,,7176515,90,0,,2022-09-26 06:27:59.310,,2022-09-25 07:00:00.400,,,,-1,600000,132,,,,8436.881,,436.93,2f0e4b8e-d62b-4c18-b9ee-76421b10891b.extra_data.json,1Aysn0n5s3,4400,com.sec.android.app.shealth,7172115,20580000,2f0e4b8e-d62b-4c18-b9ee-76421b10891b,1664064000000,
,,,,5844,,3749674,90,0,,2022-09-27 05:12:33.991,,2022-09-26 07:00:00.483,,,,-1,180000,68,,,,4405.1895,,223.55998,de97b2ac-515f-4407-b22c-8f3b60c11627.extra_data.json,1Aysn0n5s3,400,com.sec.android.app.shealth,3749274,25140000,de97b2ac-515f-4407-b22c-8f3b60c11627,1664150400000,
,,,,3006,,1879839,90,0,,2022-09-28 06:22:15.830,,2022-09-27 07:00:02.221,,,,-1,658768,34,,,,2283.7688,,112.62666,92c968f7-25b6-4428-99a2-1bb2bad5b64b.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,1879839,25740000,92c968f7-25b6-4428-99a2-1bb2bad5b64b,1664236800000,
,,,,2397,,1528124,90,0,,2022-09-29 06:03:47.062,,2022-09-28 07:31:16.983,,,,-1,779974,27,,,,1813.7198,,94.89998,906a1e45-b0cf-4785-9439-48378bd33b7d.extra_data.json,1Aysn0n5s3,1200,com.sec.android.app.shealth,1526924,29520000,906a1e45-b0cf-4785-9439-48378bd33b7d,1664323200000,
,,,,7718,,4849951,90,0,,2022-09-30 06:55:19.350,,2022-09-29 08:31:52.785,,,,-1,600000,88,,,,5773.2617,,293.53986,87c8ee2c-b685-444e-b914-7c7f76982c5b.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,4849951,25620000,87c8ee2c-b685-444e-b914-7c7f76982c5b,1664409600000,
,,,,5770,,3629881,90,0,,2022-10-01 05:31:10.711,,2022-09-30 07:05:47.293,,,,-1,480000,66,,,,4351.5303,,215.33,d546d897-7d55-4e19-b2aa-a9dff690b831.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,3629881,41880000,d546d897-7d55-4e19-b2aa-a9dff690b831,1664496000000,
,,,,4484,,2856487,90,0,,2022-10-02 04:24:31.261,,2022-10-01 07:00:01.588,,,,-1,480000,52,,,,3364.2095,,174.45001,ea54f2f4-8190-45c2-a97b-0379d788097c.extra_data.json,1Aysn0n5s3,1600,com.sec.android.app.shealth,2854887,23460000,ea54f2f4-8190-45c2-a97b-0379d788097c,1664582400000,
